congressional_district,district_id,year_in_effect,state_initial
CA-01,1,2012,CA
CA-02,2,2012,CA
CA-03,3,2012,CA
CA-04,4,2012,CA
CA-05,5,2012,CA
CA-06,6,2012,CA
CA-07,7,2012,CA
CA-08,8,2012,CA
CA-09,9,2012,CA
CA-10,10,2012,CA
CA-11,11,2012,CA
CA-12,12,2012,CA
CA-13,13,2012,CA
CA-14,14,2012,CA
CA-15,15,2012,CA
CA-16,16,2012,CA
CA-17,17,2012,CA
CA-18,18,2012,CA
CA-19,19,2012,CA
CA-20,20,2012,CA
CA-21,21,2012,CA
CA-22,22,2012,CA
CA-23,23,2012,CA
CA-24,24,2012,CA
CA-25,25,2012,CA
CA-26,26,2012,CA
CA-27,27,2012,CA
CA-28,28,2012,CA
CA-29,29,2012,CA
CA-30,30,2012,CA
CA-31,31,2012,CA
CA-32,32,2012,CA
CA-33,33,2012,CA
CA-34,34,2012,CA
CA-35,35,2012,CA
CA-36,36,2012,CA
CA-37,37,2012,CA
CA-38,38,2012,CA
CA-39,39,2012,CA
CA-40,40,2012,CA
CA-41,41,2012,CA
CA-42,42,2012,CA
CA-43,43,2012,CA
CA-44,44,2012,CA
CA-45,45,2012,CA
CA-46,46,2012,CA
CA-47,47,2012,CA
CA-48,48,2012,CA
CA-49,49,2012,CA
CA-50,50,2012,CA
CA-51,51,2012,CA
CA-52,52,2012,CA
CA-53,53,2012,CA
NY-01,1,2012,NY
NY-02,2,2012,NY
NY-03,3,2012,NY
NY-04,4,2012,NY
NY-05,5,2012,NY
NY-06,6,2012,NY
NY-07,7,2012,NY
NY-08,8,2012,NY
NY-09,9,2012,NY
NY-10,10,2012,NY
NY-11,11,2012,NY
NY-12,12,2012,NY
NY-13,13,2012,NY
NY-14,14,2012,NY
NY-15,15,2012,NY
NY-16,16,2012,NY
NY-17,17,2012,NY
NY-18,18,2012,NY
NY-19,19,2012,NY
NY-20,20,2012,NY
NY-21,21,2012,NY
NY-22,22,2012,NY
NY-23,23,2012,NY
NY-24,24,2012,NY
NY-25,25,2012,NY
NY-26,26,2012,NY
NY-27,27,2012,NY
TX-01,1,2012,TX
TX-02,2,2012,TX
TX-03,3,2012,TX
TX-04,4,2012,TX
TX-05,5,2012,TX
TX-06,6,2012,TX
TX-07,7,2012,TX
TX-08,8,2012,TX
TX-09,9,2012,TX
TX-10,10,2012,TX
TX-11,11,2012,TX
TX-12,12,2012,TX
TX-13,13,2012,TX
TX-14,14,2012,TX
TX-15,15,2012,TX
TX-16,16,2012,TX
TX-17,17,2012,TX
TX-18,18,2012,TX
TX-19,19,2012,TX
TX-20,20,2012,TX
TX-21,21,2012,TX
TX-22,22,2012,TX
TX-23,23,2012,TX
TX-24,24,2012,TX
TX-25,25,2012,TX
TX-26,26,2012,TX
TX-27,27,2012,TX
TX-28,28,2012,TX
TX-29,29,2012,TX
TX-30,30,2012,TX
TX-31,31,2012,TX
TX-32,32,2012,TX
TX-33,33,2012,TX
TX-34,34,2012,TX
TX-35,35,2012,TX
TX-36,36,2012,TX
NJ-01,1,2022,NJ
NJ-02,2,2022,NJ
NJ-03,3,2022,NJ
NJ-04,4,2022,NJ
NJ-05,5,2022,NJ
NJ-06,6,2022,NJ
NJ-07,7,2022,NJ
NJ-08,8,2022,NJ
NJ-09,9,2022,NJ
NJ-10,10,2022,NJ
NJ-11,11,2022,NJ
NJ-12,12,2022,NJ
